Startpoint,Endpoint,Slack
 instr[4] (input port clocked by clk), riscv/dp/_19613_ (falling edge-triggered flip-flop clocked by clk'),51.41
 instr[4] (input port clocked by clk), riscv/dp/_18973_ (falling edge-triggered flip-flop clocked by clk'),51.54
 instr[4] (input port clocked by clk), riscv/dp/_19357_ (falling edge-triggered flip-flop clocked by clk'),52.37
 instr[4] (input port clocked by clk), riscv/dp/_19165_ (falling edge-triggered flip-flop clocked by clk'),50.61
 instr[4] (input port clocked by clk), riscv/dp/_19709_ (falling edge-triggered flip-flop clocked by clk'),51.54
 instr[4] (input port clocked by clk), riscv/dp/_19133_ (falling edge-triggered flip-flop clocked by clk'),50.84
 instr[4] (input port clocked by clk), riscv/dp/_19614_ (falling edge-triggered flip-flop clocked by clk'),182.98
 instr[4] (input port clocked by clk), riscv/dp/_19677_ (falling edge-triggered flip-flop clocked by clk'),52.21
 instr[4] (input port clocked by clk), riscv/dp/_19134_ (falling edge-triggered flip-flop clocked by clk'),183.96
 instr[4] (input port clocked by clk), riscv/dp/_19166_ (falling edge-triggered flip-flop clocked by clk'),48.18
 instr[4] (input port clocked by clk), riscv/dp/_19262_ (falling edge-triggered flip-flop clocked by clk'),183.27
 instr[4] (input port clocked by clk), riscv/dp/_19294_ (falling edge-triggered flip-flop clocked by clk'),48.00
 instr[4] (input port clocked by clk), riscv/dp/_19358_ (falling edge-triggered flip-flop clocked by clk'),183.42
 instr[4] (input port clocked by clk), riscv/dp/_19582_ (falling edge-triggered flip-flop clocked by clk'),183.51
 instr[4] (input port clocked by clk), riscv/dp/_19550_ (falling edge-triggered flip-flop clocked by clk'),183.57
 instr[4] (input port clocked by clk), riscv/dp/_19422_ (falling edge-triggered flip-flop clocked by clk'),48.34
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19092_ (falling edge-triggered flip-flop clocked by clk'),-45.85
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19220_ (falling edge-triggered flip-flop clocked by clk'),-45.94
 instr[4] (input port clocked by clk), riscv/dp/_18910_ (falling edge-triggered flip-flop clocked by clk'),48.62
 instr[4] (input port clocked by clk), riscv/dp/_19710_ (falling edge-triggered flip-flop clocked by clk'),48.48
 instr[4] (input port clocked by clk), riscv/dp/_18974_ (falling edge-triggered flip-flop clocked by clk'),48.55
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19860_ (falling edge-triggered flip-flop clocked by clk'),-44.21
 instr[4] (input port clocked by clk), riscv/dp/_19678_ (falling edge-triggered flip-flop clocked by clk'),49.00
 instr[4] (input port clocked by clk), riscv/dp/_19038_ (falling edge-triggered flip-flop clocked by clk'),48.83
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19636_ (falling edge-triggered flip-flop clocked by clk'),-45.70
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19060_ (falling edge-triggered flip-flop clocked by clk'),-45.95
